algo,nlist,nprobe,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,faiss_threads,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100,n_base,M,nbits,sq
IVFFlat,256,1,55.62560458399821,10020.893801689148,13738.48046875,25766.6328125,9403.8515625,8,603.5201959174543,1.6595202462000695,1.665074091907358,0.786,0.76064,0.712244,1281167,,,
IVFFlat,256,4,55.62560458399821,10020.893801689148,13738.48046875,25766.6328125,9403.8515625,8,115.31857380614994,8.67183542379935,8.686511864147382,0.9708,0.96518,0.948516,1281167,,,
IVFFlat,256,16,55.62560458399821,10020.893801689148,13738.48046875,25766.6328125,9403.8515625,8,27.35770944090307,36.569330813466514,36.60496175470285,0.998,0.99728,0.994648,1281167,,,
IVFFlat,256,64,55.62560458399821,10020.893801689148,13738.48046875,25766.6328125,9403.8515625,8,9.338550673008132,107.093465117467,107.12984895854429,1.0,0.99998,0.99987,1281167,,,
IVFFlat,256,256,55.62560458399821,10020.893801689148,13738.48046875,25766.6328125,9403.8515625,8,5.657263420489138,176.8065651447333,176.89075572670404,1.0,0.99998,0.999998,1281167,,,
IVFFlat,1024,1,199.26975951599889,10026.899661064148,13830.09375,26176.3984375,12305.39453125,8,4278.5360403387485,0.2336120345333862,0.2340962377325631,0.719,0.67828,0.599128,1281167,,,
IVFFlat,1024,4,199.26975951599889,10026.899661064148,13830.09375,26176.3984375,12305.39453125,8,911.7987742301804,1.0965575319331644,1.0972582242999631,0.9444,0.92794,0.895698,1281167,,,
IVFFlat,1024,16,199.26975951599889,10026.899661064148,13830.09375,26176.3984375,12305.39453125,8,192.14276031739163,5.207850507399416,5.215847265867866,0.9946,0.99206,0.98383,1281167,,,
IVFFlat,1024,64,199.26975951599889,10026.899661064148,13830.09375,26176.3984375,12305.39453125,8,44.59667210492929,22.425444502933047,22.43029774758758,0.9988,0.99948,0.99878,1281167,,,
IVFFlat,1024,256,199.26975951599889,10026.899661064148,13830.09375,26176.3984375,12305.39453125,8,12.630421853458405,79.17669550520029,79.18849817269663,1.0,0.99996,0.999972,1281167,,,
IVFFlat,1024,1024,199.26975951599889,10026.899661064148,13830.09375,26176.3984375,12305.39453125,8,5.650226988260481,177.00749494506647,177.1322093173121,1.0,0.99998,0.999998,1281167,,,
IVFFlat,4096,1,746.9430006469993,10050.923098564148,14201.16015625,26269.09765625,13042.23828125,8,16227.458125476496,0.0621825723336466,0.0635052418049308,0.573,0.52256,0.398082,1281167,,,
IVFFlat,4096,4,746.9430006469993,10050.923098564148,14201.16015625,26269.09765625,13042.23828125,8,5091.766027360409,0.1963968473995919,0.1967310018831631,0.8936,0.85674,0.777256,1281167,,,
IVFFlat,4096,16,746.9430006469993,10050.923098564148,14201.16015625,26269.09765625,13042.23828125,8,1161.6897818281182,0.8614955321332672,0.8632997854758578,0.978,0.9706,0.944522,1281167,,,
IVFFlat,4096,64,746.9430006469993,10050.923098564148,14201.16015625,26269.09765625,13042.23828125,8,259.5107841410595,3.853866658267119,3.855026466208335,0.9976,0.99704,0.992416,1281167,,,
